#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
26.4518 0.379103 -0.00500001 2.94909e-15 0 0
26.5517 0.380529 -0.00500001 3.1652e-15 0 0
26.6517 0.381956 -0.00500001 3.39624e-15 0 0
26.7517 0.383383 -0.00500001 3.64316e-15 0 0
26.8517 0.384809 -0.00500001 3.907e-15 0 0
26.9517 0.386236 -0.00500001 4.18884e-15 0 0
27.0517 0.387663 -0.00500001 4.48984e-15 0 0
27.1517 0.38909 -0.00500001 4.81121e-15 0 0
27.2517 0.390517 -0.00500001 5.15426e-15 0 0
27.3517 0.391944 -0.00500001 5.52036e-15 0 0
27.4516 0.393371 -0.00500001 5.91095e-15 0 0
27.5516 0.394798 -0.00500001 6.32758e-15 0 0
27.6516 0.396225 -0.00500001 6.77188e-15 0 0
27.7516 0.397652 -0.00500001 7.24557e-15 0 0
27.8516 0.399079 -0.00500001 7.75047e-15 0 0
27.9516 0.400507 -0.00500001 8.28852e-15 0 0
28.0516 0.401934 -0.00500001 8.86175e-15 0 0
28.1516 0.403361 -0.00500001 9.47233e-15 0 0
28.2516 0.404788 -0.00500001 1.01225e-14 0 0
28.3515 0.406216 -0.00500001 1.08148e-14 0 0
28.4515 0.407643 -0.00500001 1.15517e-14 0 0
28.5515 0.409071 -0.00500001 1.23358e-14 0 0
28.6515 0.410498 -0.00500001 1.31701e-14 0 0
28.7515 0.411926 -0.00500001 1.40575e-14 0 0
28.8515 0.413353 -0.00500001 1.50013e-14 0 0
28.9515 0.414781 -0.00500001 1.60048e-14 0 0
29.0515 0.416209 -0.00500001 1.70714e-14 0 0
29.1515 0.417636 -0.00500001 1.82051e-14 0 0
29.2514 0.419064 -0.00500001 1.94096e-14 0 0
29.3514 0.420492 -0.00500001 2.06892e-14 0 0
29.4514 0.42192 -0.00500001 2.20482e-14 0 0
29.5514 0.423348 -0.00500001 2.34914e-14 0 0
29.6514 0.424776 -0.00500001 2.50235e-14 0 0
29.7514 0.426204 -0.00500001 2.66497e-14 0 0
29.8514 0.427632 -0.00500001 2.83754e-14 0 0
29.9514 0.42906 -0.00500001 3.02064e-14 0 0
30.0514 0.430488 -0.00500001 3.21486e-14 0 0
30.1513 0.431916 -0.00500001 3.42085e-14 0 0
