#Time  flux(x0) flux(x1) flux(y0) flux(y1)
50.4491  -0.00500001 0.00500001 0 0
50.5491  -0.00500001 0.00500001 0 0
50.6491  -0.00500001 0.00500001 0 0
50.7491  -0.00500001 0.00500001 0 0
50.8491  -0.00500001 0.00500001 0 0
50.9491  -0.00500001 0.00500001 0 0
51.0491  -0.00500001 0.00500001 0 0
51.1491  -0.00500001 0.00500001 0 0
51.249  -0.00500001 0.00500001 0 0
51.349  -0.00500001 0.00500001 0 0
51.449  -0.00500001 0.00500001 0 0
51.549  -0.00500001 0.00500001 0 0
51.649  -0.00500001 0.00500001 0 0
51.749  -0.00500001 0.00500001 0 0
51.849  -0.00500001 0.00500001 0 0
51.949  -0.00500001 0.00500001 0 0
52.049  -0.00500001 0.00500001 0 0
52.1489  -0.00500001 0.00500001 0 0
52.2489  -0.00500001 0.00500001 0 0
52.3489  -0.00500001 0.00500001 0 0
52.4489  -0.00500001 0.00500001 0 0
52.5489  -0.00500001 0.00500001 0 0
52.6489  -0.00500001 0.00500001 0 0
52.7489  -0.00500001 0.00500001 0 0
52.8489  -0.00500001 0.00500001 0 0
52.9489  -0.00500001 0.00500001 0 0
53.0488  -0.00500001 0.00500001 0 0
53.1488  -0.00500001 0.00500001 0 0
53.2488  -0.00500001 0.00500001 0 0
53.3488  -0.00500001 0.00500001 0 0
53.4488  -0.00500001 0.00500001 0 0
53.5488  -0.00500001 0.00500001 0 0
53.6488  -0.00500001 0.00500001 0 0
53.7488  -0.00500001 0.00500001 0 0
53.8488  -0.00500001 0.00500001 0 0
53.9487  -0.00500001 0.00500001 0 0
54.0487  -0.00500001 0.00500001 0 0
54.1487  -0.00500001 0.00500001 0 0
54.2487  -0.00500001 0.00500001 0 0
54.3487  -0.00500001 0.00500001 0 0
54.4487  -0.00500001 0.00500001 0 0
54.5487  -0.00500001 0.00500001 0 0
54.6487  -0.00500001 0.00500001 0 0
54.7487  -0.00500001 0.00500001 0 0
54.8486  -0.00500001 0.00500001 0 0
54.9486  -0.00500001 0.00500001 0 0
55.0486  -0.00500001 0.00500001 0 0
55.1486  -0.00500001 0.00500001 0 0
55.2486  -0.00500001 0.00500001 0 0
55.3486  -0.00500001 0.00500001 0 0
55.4486  -0.00500001 0.00500001 0 0
55.5486  -0.00500001 0.00500001 0 0
55.6486  -0.00500001 0.00500001 0 0
55.7486  -0.00500001 0.00500001 0 0
55.8485  -0.00500001 0.00500001 0 0
55.9485  -0.00500001 0.00500001 0 0
56.0485  -0.00500001 0.00500001 0 0
56.1485  -0.00500001 0.00500001 0 0
56.2485  -0.00500001 0.00500001 0 0
56.3485  -0.00500001 0.00500001 0 0
56.4485  -0.00500001 0.00500001 0 0
56.5485  -0.00500001 0.00500001 0 0
56.6485  -0.00500001 0.00500001 0 0
56.7484  -0.00500001 0.00500001 0 0
56.8484  -0.00500001 0.00500001 0 0
56.9484  -0.00500001 0.00500001 0 0
57.0484  -0.00500001 0.00500001 0 0
57.1484  -0.00500001 0.00500001 0 0
57.2484  -0.00500001 0.00500001 0 0
57.3484  -0.00500001 0.00500001 0 0
57.4484  -0.00500001 0.00500001 0 0
57.5484  -0.00500001 0.00500001 0 0
57.6483  -0.00500001 0.00500001 0 0
57.7483  -0.00500001 0.00500001 0 0
57.8483  -0.00500001 0.00500001 0 0
57.9483  -0.00500001 0.00500001 0 0
58.0483  -0.00500001 0.00500001 0 0
58.1483  -0.00500001 0.00500001 0 0
58.2483  -0.00500001 0.00500001 0 0
58.3483  -0.00500001 0.00500001 0 0
58.4483  -0.00500001 0.00500001 0 0
58.5482  -0.00500001 0.00500001 0 0
58.6482  -0.00500001 0.00500001 0 0
58.7482  -0.00500001 0.00500001 0 0
58.8482  -0.00500001 0.00500001 0 0
58.9482  -0.00500001 0.00500001 0 0
59.0482  -0.00500001 0.00500001 0 0
59.1482  -0.00500001 0.00500001 0 0
59.2482  -0.00500001 0.00500001 0 0
59.3482  -0.00500001 0.00500001 0 0
59.4481  -0.00500001 0.00500001 0 0
59.5481  -0.00500001 0.00500001 0 0
59.6481  -0.00500001 0.00500001 0 0
59.7481  -0.00500001 0.00500001 0 0
59.8481  -0.00500001 0.00500001 0 0
59.9481  -0.00500001 0.00500001 0 0
60.0481  -0.00500001 0.00500001 0 0
60.1481  -0.00500001 0.00500001 0 0
60.2481  -0.00500001 0.00500001 0 0
60.348  -0.00500001 0.00500001 0 0
60.448  -0.00500001 0.00500001 0 0
60.548  -0.00500001 0.00500001 0 0
60.648  -0.00500001 0.00500001 0 0
60.748  -0.00500001 0.00500001 0 0
60.848  -0.00500001 0.00500001 0 0
60.948  -0.00500001 0.00500001 0 0
61.048  -0.00500001 0.00500001 0 0
61.148  -0.00500001 0.00500001 0 0
61.2479  -0.00500001 0.00500001 0 0
61.3479  -0.00500001 0.00500001 0 0
61.4479  -0.00500001 0.00500001 0 0
61.5479  -0.00500001 0.00500001 0 0
61.6479  -0.00500001 0.00500001 0 0
61.7479  -0.00500001 0.00500001 0 0
61.8479  -0.00500001 0.00500001 0 0
61.9479  -0.00500001 0.00500001 0 0
62.0479  -0.00500001 0.00500001 0 0
62.1479  -0.00500001 0.00500001 0 0
62.2478  -0.00500001 0.00500001 0 0
62.3478  -0.00500001 0.00500001 0 0
62.4478  -0.00500001 0.00500001 0 0
62.5478  -0.00500001 0.00500001 0 0
62.6478  -0.00500001 0.00500001 0 0
