#Time  flux(x0) flux(x1) flux(y0) flux(y1)
10474.9  -6.6e-05 6.5999e-05 0 0
10534.8  -6.6e-05 6.5999e-05 0 0
10594.7  -6.6e-05 6.5999e-05 0 0
10654.6  -6.6e-05 6.5999e-05 0 0
10714.5  -6.6e-05 6.5999e-05 0 0
10774.4  -6.6e-05 6.5999e-05 0 0
10834.3  -6.6e-05 6.5999e-05 0 0
10894.2  -6.6e-05 6.5999e-05 0 0
10954.1  -6.6e-05 6.5999e-05 0 0
11014  -6.6e-05 6.5999e-05 0 0
11073.9  -6.6e-05 6.5999e-05 0 0
11133.8  -6.6e-05 6.5999e-05 0 0
11193.7  -6.6e-05 6.5999e-05 0 0
11253.6  -6.6e-05 6.5999e-05 0 0
11313.4  -6.6e-05 6.5999e-05 0 0
11373.3  -6.6e-05 6.5999e-05 0 0
11433.2  -6.6e-05 6.5999e-05 0 0
11493.1  -6.6e-05 6.5999e-05 0 0
11553  -6.6e-05 6.5999e-05 0 0
11612.9  -6.6e-05 6.5999e-05 0 0
11672.8  -6.6e-05 6.5999e-05 0 0
11732.7  -6.6e-05 6.5999e-05 0 0
11792.6  -6.6e-05 6.5999e-05 0 0
11852.5  -6.6e-05 6.5999e-05 0 0
11912.4  -6.6e-05 6.5999e-05 0 0
11972.3  -6.6e-05 6.5999e-05 0 0
12032.2  -6.6e-05 6.5999e-05 0 0
12092.1  -6.6e-05 6.5999e-05 0 0
12151.9  -6.6e-05 6.5999e-05 0 0
12211.8  -6.6e-05 6.5999e-05 0 0
12271.7  -6.6e-05 6.5999e-05 0 0
12331.6  -6.6e-05 6.5999e-05 0 0
12391.5  -6.6e-05 6.5999e-05 0 0
12451.4  -6.6e-05 6.5999e-05 0 0
12511.3  -6.6e-05 6.5999e-05 0 0
12571.2  -6.6e-05 6.5999e-05 0 0
12631.1  -6.6e-05 6.5999e-05 0 0
12691  -6.6e-05 6.5999e-05 0 0
12750.9  -6.6e-05 6.5999e-05 0 0
12810.8  -6.6e-05 6.5999e-05 0 0
12870.7  -6.6e-05 6.5999e-05 0 0
12930.6  -6.6e-05 6.5999e-05 0 0
12990.4  -6.6e-05 6.5999e-05 0 0
13050.3  -6.6e-05 6.5999e-05 0 0
13110.2  -6.6e-05 6.5999e-05 0 0
13170.1  -6.6e-05 6.5999e-05 0 0
13230  -6.6e-05 6.5999e-05 0 0
13289.9  -6.6e-05 6.5999e-05 0 0
13349.8  -6.6e-05 6.5999e-05 0 0
13409.7  -6.6e-05 6.5999e-05 0 0
13469.6  -6.6e-05 6.5999e-05 0 0
13529.5  -6.6e-05 6.5999e-05 0 0
13589.4  -6.6e-05 6.5999e-05 0 0
13649.3  -6.6e-05 6.5999e-05 0 0
13709.2  -6.6e-05 6.5999e-05 0 0
13769.1  -6.6e-05 6.5999e-05 0 0
13828.9  -6.6e-05 6.5999e-05 0 0
13888.8  -6.6e-05 6.5999e-05 0 0
13948.7  -6.6e-05 6.5999e-05 0 0
14008.6  -6.6e-05 6.5999e-05 0 0
14068.5  -6.6e-05 6.5999e-05 0 0
14128.4  -6.6e-05 6.5999e-05 0 0
14188.3  -6.6e-05 6.5999e-05 0 0
14248.2  -6.6e-05 6.5999e-05 0 0
14308.1  -6.6e-05 6.5999e-05 0 0
14368  -6.6e-05 6.5999e-05 0 0
14427.9  -6.6e-05 6.5999e-05 0 0
14487.8  -6.6e-05 6.5999e-05 0 0
14547.7  -6.6e-05 6.5999e-05 0 0
14607.6  -6.6e-05 6.5999e-05 0 0
14667.4  -6.6e-05 6.5999e-05 0 0
14727.3  -6.6e-05 6.5999e-05 0 0
14787.2  -6.6e-05 6.5999e-05 0 0
14847.1  -6.6e-05 6.5999e-05 0 0
14907  -6.6e-05 6.5999e-05 0 0
14966.9  -6.6e-05 6.5999e-05 0 0
15026.8  -6.6e-05 6.5999e-05 0 0
15086.7  -6.6e-05 6.5999e-05 0 0
15146.6  -6.6e-05 6.5999e-05 0 0
15206.5  -6.6e-05 6.5999e-05 0 0
15266.4  -6.6e-05 6.5999e-05 0 0
15326.3  -6.6e-05 6.5999e-05 0 0
15386.2  -6.6e-05 6.5999e-05 0 0
15446  -6.6e-05 6.5999e-05 0 0
15505.9  -6.6e-05 6.5999e-05 0 0
15565.8  -6.6e-05 6.5999e-05 0 0
15625.7  -6.6e-05 6.5999e-05 0 0
15685.6  -6.6e-05 6.5999e-05 0 0
15745.5  -6.6e-05 6.5999e-05 0 0
15805.4  -6.6e-05 6.5999e-05 0 0
15865.3  -6.6e-05 6.5999e-05 0 0
15925.2  -6.6e-05 6.5999e-05 0 0
15985.1  -6.6e-05 6.5999e-05 0 0
16045  -6.6e-05 6.5999e-05 0 0
16104.9  -6.6e-05 6.5999e-05 0 0
16164.8  -6.6e-05 6.5999e-05 0 0
16224.7  -6.6e-05 6.5999e-05 0 0
16284.5  -6.6e-05 6.5999e-05 0 0
16344.4  -6.6e-05 6.5999e-05 0 0
16404.3  -6.6e-05 6.5999e-05 0 0
16464.2  -6.6e-05 6.5999e-05 0 0
16524.1  -6.6e-05 6.5999e-05 0 0
16584  -6.6e-05 6.5999e-05 0 0
16643.9  -6.6e-05 6.5999e-05 0 0
16703.8  -6.6e-05 6.5999e-05 0 0
16763.7  -6.6e-05 6.5999e-05 0 0
16823.6  -6.6e-05 6.5999e-05 0 0
16883.5  -6.6e-05 6.5999e-05 0 0
16943.4  -6.6e-05 6.5999e-05 0 0
17003.3  -6.6e-05 6.5999e-05 0 0
17063.2  -6.6e-05 6.5999e-05 0 0
17123  -6.6e-05 6.5999e-05 0 0
17182.9  -6.6e-05 6.5999e-05 0 0
17242.8  -6.6e-05 6.5999e-05 0 0
17302.7  -6.6e-05 6.5999e-05 0 0
17362.6  -6.6e-05 6.5999e-05 0 0
17422.5  -6.6e-05 6.5999e-05 0 0
17482.4  -6.6e-05 6.5999e-05 0 0
17542.3  -6.6e-05 6.5999e-05 0 0
17602.2  -6.6e-05 6.5999e-05 0 0
17662.1  -6.6e-05 6.5999e-05 0 0
17722  -6.6e-05 6.5999e-05 0 0
17781.9  -6.6e-05 6.5999e-05 0 0
17841.8  -6.6e-05 6.5999e-05 0 0
17901.7  -6.6e-05 6.5999e-05 0 0
17961.5  -6.6e-05 6.5999e-05 0 0
18021.4  -6.6e-05 6.5999e-05 0 0
18081.3  -6.6e-05 6.5999e-05 0 0
18141.2  -6.6e-05 6.5999e-05 0 0
18201.1  -6.6e-05 6.5999e-05 0 0
18261  -6.6e-05 6.5999e-05 0 0
18320.9  -6.6e-05 6.5999e-05 0 0
18380.8  -6.6e-05 6.5999e-05 0 0
18440.7  -6.6e-05 6.5999e-05 0 0
18500.6  -6.6e-05 6.5999e-05 0 0
18560.5  -6.6e-05 6.5999e-05 0 0
18620.4  -6.6e-05 6.5999e-05 0 0
18680.3  -6.6e-05 6.5999e-05 0 0
18740.2  -6.6e-05 6.5999e-05 0 0
18800  -6.6e-05 6.5999e-05 0 0
18859.9  -6.6e-05 6.5999e-05 0 0
18919.8  -6.6e-05 6.5999e-05 0 0
18979.7  -6.6e-05 6.5999e-05 0 0
19039.6  -6.6e-05 6.5999e-05 0 0
19099.5  -6.6e-05 6.5999e-05 0 0
19159.4  -6.6e-05 6.5999e-05 0 0
19219.3  -6.6e-05 6.5999e-05 0 0
19279.2  -6.6e-05 6.5999e-05 0 0
19339.1  -6.6e-05 6.5999e-05 0 0
19399  -6.6e-05 6.5999e-05 0 0
19458.9  -6.6e-05 6.5999e-05 0 0
19518.8  -6.6e-05 6.5999e-05 0 0
19578.7  -6.6e-05 6.5999e-05 0 0
19638.5  -6.6e-05 6.5999e-05 0 0
19698.4  -6.6e-05 6.5999e-05 0 0
19758.3  -6.6e-05 6.5999e-05 0 0
19818.2  -6.6e-05 6.5999e-05 0 0
19878.1  -6.6e-05 6.5999e-05 0 0
19938  -6.6e-05 6.5999e-05 0 0
19997.9  -6.6e-05 6.5999e-05 0 0
20057.8  -6.6e-05 6.5999e-05 0 0
20117.7  -6.6e-05 6.5999e-05 0 0
20177.6  -6.6e-05 6.5999e-05 0 0
20237.5  -6.6e-05 6.5999e-05 0 0
20297.4  -6.6e-05 6.5999e-05 0 0
20357.3  -6.6e-05 6.5999e-05 0 0
20417.2  -6.6e-05 6.5999e-05 0 0
20477  -6.6e-05 6.5999e-05 0 0
20536.9  -6.6e-05 6.5999e-05 0 0
20596.8  -6.6e-05 6.5999e-05 0 0
20656.7  -6.6e-05 6.5999e-05 0 0
20716.6  -6.6e-05 6.5999e-05 0 0
20776.5  -6.6e-05 6.5999e-05 0 0
20836.4  -6.6e-05 6.5999e-05 0 0
20896.3  -6.6e-05 6.5999e-05 0 0
20956.2  -6.6e-05 6.5999e-05 0 0
21016.1  -6.6e-05 6.5999e-05 0 0
21076  -6.6e-05 6.5999e-05 0 0
21135.9  -6.6e-05 6.5999e-05 0 0
21195.8  -6.6e-05 6.5999e-05 0 0
21255.7  -6.6e-05 6.5999e-05 0 0
21315.5  -6.6e-05 6.5999e-05 0 0
21375.4  -6.6e-05 6.5999e-05 0 0
21435.3  -6.6e-05 6.5999e-05 0 0
21495.2  -6.6e-05 6.5999e-05 0 0
21555.1  -6.6e-05 6.5999e-05 0 0
21615  -6.6e-05 6.5999e-05 0 0
21674.9  -6.6e-05 6.5999e-05 0 0
21734.8  -6.6e-05 6.5999e-05 0 0
21794.7  -6.6e-05 6.5999e-05 0 0
21854.6  -6.6e-05 6.5999e-05 0 0
21914.5  -6.6e-05 6.5999e-05 0 0
21974.4  -6.6e-05 6.5999e-05 0 0
