#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
9816.13 0.072094 0 -2.24318e-06 0 0
9876.02 0.0725328 0 -2.24315e-06 0 0
9935.91 0.0729715 0 -2.24313e-06 0 0
9995.8 0.0734103 0 -2.2431e-06 0 0
10055.7 0.073849 0 -2.24308e-06 0 0
10115.6 0.0742877 0 -2.24305e-06 0 0
10175.5 0.0747264 0 -2.24303e-06 0 0
10235.4 0.0751651 0 -2.243e-06 0 0
10295.3 0.0756038 0 -2.24298e-06 0 0
10355.2 0.0760424 0 -2.24295e-06 0 0
10415.1 0.0764811 0 -2.24293e-06 0 0
10474.9 0.0769197 0 -2.2429e-06 0 0
10534.8 0.0773583 0 -2.24288e-06 0 0
10594.7 0.077797 0 -2.24285e-06 0 0
10654.6 0.0782356 0 -2.24283e-06 0 0
10714.5 0.0786741 0 -2.2428e-06 0 0
10774.4 0.0791127 0 -2.24278e-06 0 0
10834.3 0.0795513 0 -2.24275e-06 0 0
10894.2 0.0799898 0 -2.24273e-06 0 0
10954.1 0.0804283 0 -2.2427e-06 0 0
11014 0.0808668 0 -2.24268e-06 0 0
11073.9 0.0813053 0 -2.24265e-06 0 0
11133.8 0.0817438 0 -2.24263e-06 0 0
11193.7 0.0821823 0 -2.2426e-06 0 0
11253.6 0.0826208 0 -2.24258e-06 0 0
11313.4 0.0830592 0 -2.24255e-06 0 0
11373.3 0.0834976 0 -2.24253e-06 0 0
11433.2 0.0839361 0 -2.2425e-06 0 0
11493.1 0.0843745 0 -2.24248e-06 0 0
11553 0.0848128 0 -2.24245e-06 0 0
11612.9 0.0852512 0 -2.24243e-06 0 0
11672.8 0.0856896 0 -2.2424e-06 0 0
11732.7 0.0861279 0 -2.24238e-06 0 0
11792.6 0.0865663 0 -2.24235e-06 0 0
11852.5 0.0870046 0 -2.24233e-06 0 0
11912.4 0.0874429 0 -2.2423e-06 0 0
11972.3 0.0878812 0 -2.24227e-06 0 0
12032.2 0.0883195 0 -2.24225e-06 0 0
12092.1 0.0887578 0 -2.24222e-06 0 0
12151.9 0.089196 0 -2.2422e-06 0 0
12211.8 0.0896343 0 -2.24217e-06 0 0
12271.7 0.0900725 0 -2.24215e-06 0 0
12331.6 0.0905107 0 -2.24212e-06 0 0
12391.5 0.0909489 0 -2.2421e-06 0 0
12451.4 0.0913871 0 -2.24207e-06 0 0
12511.3 0.0918253 0 -2.24205e-06 0 0
12571.2 0.0922635 0 -2.24202e-06 0 0
12631.1 0.0927016 0 -2.242e-06 0 0
12691 0.0931397 0 -2.24197e-06 0 0
12750.9 0.0935779 0 -2.24194e-06 0 0
12810.8 0.094016 0 -2.24192e-06 0 0
12870.7 0.0944541 0 -2.24189e-06 0 0
12930.6 0.0948921 0 -2.24187e-06 0 0
12990.4 0.0953302 0 -2.24184e-06 0 0
13050.3 0.0957683 0 -2.24182e-06 0 0
13110.2 0.0962063 0 -2.24179e-06 0 0
13170.1 0.0966443 0 -2.24177e-06 0 0
13230 0.0970823 0 -2.24174e-06 0 0
13289.9 0.0975204 0 -2.24172e-06 0 0
13349.8 0.0979583 0 -2.24169e-06 0 0
13409.7 0.0983963 0 -2.24167e-06 0 0
13469.6 0.0988343 0 -2.24164e-06 0 0
13529.5 0.0992722 0 -2.24161e-06 0 0
13589.4 0.0997102 0 -2.24159e-06 0 0
13649.3 0.100148 0 -2.24156e-06 0 0
13709.2 0.100586 0 -2.24154e-06 0 0
13769.1 0.101024 0 -2.24151e-06 0 0
13828.9 0.101462 0 -2.24149e-06 0 0
13888.8 0.1019 0 -2.24146e-06 0 0
13948.7 0.102337 0 -2.24144e-06 0 0
14008.6 0.102775 0 -2.24141e-06 0 0
14068.5 0.103213 0 -2.24138e-06 0 0
14128.4 0.103651 0 -2.24136e-06 0 0
14188.3 0.104089 0 -2.24133e-06 0 0
14248.2 0.104527 0 -2.24131e-06 0 0
14308.1 0.104964 0 -2.24128e-06 0 0
14368 0.105402 0 -2.24126e-06 0 0
14427.9 0.10584 0 -2.24123e-06 0 0
14487.8 0.106278 0 -2.2412e-06 0 0
14547.7 0.106715 0 -2.24118e-06 0 0
14607.6 0.107153 0 -2.24115e-06 0 0
14667.4 0.107591 0 -2.24113e-06 0 0
14727.3 0.108028 0 -2.2411e-06 0 0
14787.2 0.108466 0 -2.24108e-06 0 0
14847.1 0.108904 0 -2.24105e-06 0 0
14907 0.109341 0 -2.24103e-06 0 0
14966.9 0.109779 0 -2.241e-06 0 0
15026.8 0.110217 0 -2.24097e-06 0 0
15086.7 0.110654 0 -2.24095e-06 0 0
15146.6 0.111092 0 -2.24092e-06 0 0
15206.5 0.111529 0 -2.2409e-06 0 0
15266.4 0.111967 0 -2.24087e-06 0 0
15326.3 0.112404 0 -2.24085e-06 0 0
15386.2 0.112842 0 -2.24082e-06 0 0
15446 0.113279 0 -2.24079e-06 0 0
15505.9 0.113717 0 -2.24077e-06 0 0
15565.8 0.114154 0 -2.24074e-06 0 0
15625.7 0.114592 0 -2.24072e-06 0 0
15685.6 0.115029 0 -2.24069e-06 0 0
15745.5 0.115467 0 -2.24066e-06 0 0
15805.4 0.115904 0 -2.24064e-06 0 0
15865.3 0.116342 0 -2.24061e-06 0 0
